code,lon,lat,name,city
CYBG,-70.996389,48.330556,Bagotville,Bagotville
CYYY,-68.208056,48.608611,Mont-Joli,Mont-Joli
CYBC,-68.207222,49.132222,Baie-Comeau,Baie-Comeau
KFVE,-68.31275,47.285506,Northern Aroostook Regl,Frenchville
KCAR,-68.017917,46.8715,Caribou Mun,Caribou
KPQI,-68.044806,46.688972,Northern Maine Regl At Presque,Presque Isle
KHUL,-67.792055,46.123083,Houlton Intl,Houlton
KMLT,-68.685561,45.647836,Millinocket Mun,Millinocket
KBML,-71.175931,44.575372,Berlin Mun,Berlin
KWVL,-69.675528,44.53325,Waterville Lafleur,Waterville
KAUG,-69.797305,44.320639,Augusta State,Augusta
KIZG,-70.947875,43.991144,Eastern Slopes Regl,Fryeburg
KIWI,-69.712556,43.961417,Wiscasset,Wiscasset
KLEW,-70.283508,44.048472,Auburn-Lewiston Mun,Auburn-Lewiston
KPWM,-70.30928,43.646161,Portland Intl,Portland
KBGR,-68.828139,44.807445,Bangor Intl,Bangor
KBHB,-68.3615,44.449695,Hancock Co-Bar Harbor,Bar Harbor
KRKD,-69.09925,44.060084,Knox Co Regl,Rockland
KSFM,-70.708,43.393861,Sanford Regl,Sanford
KDAW,-70.929256,43.284056,Skyhaven,Rochester
KPSM,-70.823278,43.077944,Pease Intl Tradeport,Portsmouth
KOWD,-71.172945,42.190528,Norwood Meml,Norwood
KLWM,-71.123431,42.717208,Lawrence Mun,Lawrence
KBVY,-70.916528,42.584167,Beverly Mun,Beverly
KBOS,-71.005189,42.364347,Logan Intl,Boston
KEWB,-70.956942,41.676142,New Bedford Regl,New Bedford
KFMH,-70.522808,41.659136,Otis ANGB,Falmouth
KPYM,-70.728789,41.909025,Plymouth Mun,Plymouth
KTAN,-71.016644,41.874403,Taunton Mun,Taunton
KHYA,-70.280356,41.669336,Barnstable Mun-Boardman/Poland,Hyannis
KPVC,-70.221378,42.071997,Provincetown Mun,Provincetown
KCQX,-69.989516,41.688389,Chatham Mun,Chatham
KMVY,-70.614333,41.393028,Martha's Vineyard,Vineyard Haven
KACK,-70.060181,41.253053,Nantucket Meml,Nantucket
MBGT,-71.142311,21.444536,Jags Mccartney Intl,Grand Turk I.
MDPP,-70.570033,19.7579,Gregorio Luperon Intl,Puerto Plata
MDST,-70.604689,19.406092,Cibao Intl,Santiago
MDAB,-69.433333,19.2,Arroyo Barril Intl,Arroyo Barril
MDSD,-69.668925,18.429664,Jose F. Pena Gomez Intl,Santo Domingo
MDLR,-68.911944,18.450833,Casa De Campo Intl,La Romana
MDPC,-68.363431,18.567367,Punta Cana Intl,Higuey
MDBH,-71.121945,18.251667,Maria Montez Intl,Barahona
TNCA,-70.015231,12.501383,Oranjestad/Reina Beatrix Intl.,Aruba Island
SVJC,-70.148179,11.778374,Josefa Camejo Intl,Paraguana
SVCR,-69.681111,11.418611,Jose L Chirinos Intl,Coro
TNCC,-68.959692,12.188914,Willemstad/Hato Intl.,Curacao I
TNCB,-68.276208,12.140433,Flamingo,Bonaire I
SVBM,-69.359846,10.041707,Barquisimeto,Barquisimeto
SVSP,-68.73318,10.283374,Sub Teniente Nestor Arias,San Felipe
SVVA,-67.933333,10.151389,Arturo Michelena Intl,Valencia
SVBS,-67.649846,10.250041,Mariscal Sucre AB,Maracay
SVPC,-68.066513,10.483374,Gen. Bartolome Salom,Puerto Cabello
SVVL,-70.616513,9.350041,Dr. Antonio Nicolas Briceno,Valera
SVMD,-71.158457,8.585596,Alberto Carnevalli,Merida
SVBI,-70.220679,8.619541,Barinas,Barinas
SVGU,-69.73318,9.016707,Guanare,Guanare
